Date,Open,High,Low,Close,Adj Close,Volume
2016-03-30,119.900002,125.000000,119.500000,121.400002,112.135406,1922207
2016-03-31,122.000000,122.300003,120.300003,121.250000,111.996841,1627181
2016-04-01,122.000000,124.199997,120.199997,122.550003,113.197639,1532533
2016-04-04,122.849998,123.449997,120.750000,121.199997,111.950653,831737
2016-04-05,121.000000,121.150002,118.000000,118.250000,109.225792,1663091
2016-04-06,119.599998,120.000000,115.000000,118.849998,109.780006,1327276
2016-04-07,118.099998,120.400002,118.099998,118.699997,109.641457,1147382
2016-04-08,118.500000,119.000000,117.000000,117.699997,108.717773,648096
2016-04-11,118.000000,120.250000,117.849998,119.500000,110.380394,1050521
2016-04-12,119.500000,120.099998,118.050003,118.349998,109.318161,788617
2016-04-13,119.050003,121.349998,118.949997,120.650002,111.442635,928735
2016-04-18,120.849998,121.000000,119.099998,120.000000,110.842247,765331
2016-04-20,120.199997,123.199997,119.550003,121.849998,112.551056,1572869
2016-04-21,122.400002,122.750000,119.550003,120.099998,110.934608,892645
2016-04-22,119.000000,121.849998,119.000000,120.250000,111.073166,716365
2016-04-25,120.400002,121.900002,120.000000,121.199997,111.950653,782130
2016-04-26,120.599998,122.500000,120.599998,121.800003,112.504875,984070
2016-04-27,122.500000,123.949997,121.949997,122.400002,113.059090,1949554
2016-04-28,122.500000,123.500000,120.000000,120.300003,111.119347,2142054
2016-04-29,121.000000,121.050003,119.000000,120.050003,110.888428,869948
2016-05-02,119.349998,121.800003,119.000000,121.099998,111.858292,717595
2016-05-03,121.599998,122.550003,119.150002,119.449997,110.334221,1356187
2016-05-04,119.800003,119.800003,116.300003,116.949997,108.025002,894057
2016-05-05,117.000000,117.800003,115.300003,116.349998,107.470795,745000
2016-05-06,116.550003,119.500000,115.800003,118.099998,109.087234,654231
2016-05-09,118.900002,120.400002,117.449997,118.750000,109.687630,1207381
2016-05-10,119.000000,119.949997,118.000000,118.199997,109.179604,526190
